subject,pii_types,question,generated_answer
,,What is the name of the highest uninterrupted waterfall in the world?,"The highest uninterrupted waterfall in the world is Angel Falls, located in Venezuela."
,,What is the capital of Brazil?,The capital of Brazil is Brasília.
,,Which country is known for constructing the Panama Canal?,The country known for constructing the Panama Canal is Panama.
,,Which country is the largest by area?,"Russia is the largest country by area, covering approximately 17.1 million square kilometers (6.6 million square miles)."
,,Which city is famous for the historical event of the 'Boston Tea Party'?,"Boston, Massachusetts."
,,"Where is the world's tallest building, the Burj Khalifa, located?","The Burj Khalifa is located in Dubai, United Arab Emirates."
,,The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius.
,,The Great Wall of China is approximately how long?,"The Great Wall of China is approximately 13,171 miles (21,196 kilometers) long."
,,Which country is the Serengeti National Park located in?,The Serengeti National Park is located in Tanzania.
,,What is the largest island in the world?,"Greenland is the largest island in the world, with an area of approximately 2,166,086 square kilometers (836,330 square miles)."
,,What is the name of the deepest known location in the Earth's oceans?,"The Challenger Deep is the deepest known location in the Earth's oceans. It is located in the Mariana Trench in the Pacific Ocean, with a depth of approximately 36,000 feet (10,973 meters) below sea level."
,,The historical landmark Stonehenge is located in which country?,England.
,,Which river flows through the Grand Canyon?,The Colorado River flows through the Grand Canyon.
,,The city of Istanbul spans two continents: Asia and which other?,Europe.
,,The ancient ruins of Angkor Wat can be found in which country?,Cambodia.
,,Which city is known for the creation of the original Olympic Games?,"The city known for the creation of the original Olympic Games is Olympia, Greece."
,,What is the capital of the U.S. state of Georgia?,The capital of the U.S. state of Georgia is Atlanta.
,,Which South American country is named after the Italian city of Venice?,The South American country named after the Italian city of Venice is Venezuela.
,,The historic site Alcatraz Island is located in which U.S. state?,California.
,,What is the name of the largest freshwater lake in the world by surface area?,"The Caspian Sea is often considered the largest enclosed inland body of water, but it is technically a saltwater lake. However, if we consider freshwater lakes, the largest freshwater lake by surface area is Lake Victoria."
,,Which Asian city is also known as the 'Pearl of the Orient'?,The answer is Hong Kong.
,,The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street.
,,The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,The catastrophic nuclear accident that occurred in 1986 is associated with the Chernobyl Nuclear Power Plant in Ukraine.
,,"The Nobel Prizes are awarded in Stockholm, Sweden in all categories except one, which is awarded in Oslo, Norway. Which category is it?","The Nobel Peace Prize is awarded in Oslo, Norway, while the other Nobel Prizes (Physics, Chemistry, Medicine, Literature, and Economics) are awarded in Stockholm, Sweden."
,,What is the name of the currency used in Japan?,The currency used in Japan is the Japanese Yen (JPY).
,,Which animal is known as the 'Ship of the Desert'?,The animal known as the 'Ship of the Desert' is the Camel.
,,In what city did the Chernobyl nuclear disaster occur?,"The Chernobyl nuclear disaster occurred in Pripyat, Ukraine, which is near the city of Chernobyl."
,,Where did the Titanic depart from on its maiden voyage?,"The RMS Titanic departed from Southampton, England on its maiden voyage."
,,"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin.
,,Who was the first person to set foot on the Moon?,"Neil Armstrong was the first person to set foot on the Moon. He stepped onto the lunar surface on July 20, 1969, during the Apollo 11 mission."
,,What was the main cause of World War I?,"The main cause of World War I is a complex and multifaceted topic, and there is no single answer. However, the most widely accepted explanation is that the assassination of Archduke Franz Ferdinand of Austria-Hungary by Gavrilo Princip, a Serbian nationalist, on June 28, 1914, in Sarajevo, Bosnia, triggered a chain reaction of events that led to"
,,What year did the Berlin Wall fall?,The Berlin Wall fell in 1989.
,,Which empire built the Taj Mahal?,The Mughal Empire built the Taj Mahal.
,,Where was Nelson Mandela imprisoned for 18 of his 27 years in jail?,Robben Island.
,,Who was the leader of the Soviet Union during the Cuban Missile Crisis?,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.
,,In what year did the Titanic sink?,The Titanic sank in 1912.
,,"What ancient structure is located in Giza, Egypt?","The Great Pyramid of Giza is an ancient structure located in Giza, Egypt."
,,Who painted the ceiling of the Sistine Chapel?,"Michelangelo Buonarroti, a renowned Italian artist from the Renaissance period, painted the ceiling of the Sistine Chapel."
,,What year did the United Kingdom vote to leave the European Union?,The United Kingdom voted to leave the European Union in 2016.
,,Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart was the first woman to fly solo across the Atlantic Ocean.
,,In which city was John F. Kennedy assassinated?,"Dallas, Texas."
,,Which country first sent an object into space?,"The Soviet Union was the first country to send an object into space. On October 4, 1957, the Soviet Union launched Sputnik 1, the first artificial satellite, into Earth's orbit."
,,In which year was the first iPhone released?,The first iPhone was released in 2007.
,,Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher was the first female Prime Minister of the United Kingdom. She served from 1979 to 1990.
,,Which country was formerly known as Persia?,Iran was formerly known as Persia.
,,Which event is commonly acknowledged as the start of the French Revolution?,"The Storming of the Bastille on July 14, 1789, is commonly acknowledged as the start of the French Revolution."
,,What was the first country to grant women the right to vote?,"New Zealand was the first self-governing country to grant women the right to vote. In 1893, the Electoral Act was passed, allowing women to vote in parliamentary elections."
,,Who was the principal author of the Declaration of Independence?,Thomas Jefferson was the principal author of the Declaration of Independence.
,,What year did the Spanish Armada attempt to invade England?,The Spanish Armada attempted to invade England in 1588.
,,Where was the first successful airplane flight conducted by the Wright brothers?,"The first successful airplane flight was conducted by the Wright brothers at Kitty Hawk, North Carolina, on December 17, 1903."
,,Which ancient civilization built the Machu Picchu complex?,The ancient Inca civilization built the Machu Picchu complex.
,,What year was the United Nations established?,The United Nations (UN) was established in 1945.
,,Who was the first Emperor of Rome?,"The first Emperor of Rome was Augustus (also known as Octavian), who ruled from 27 BC to 14 AD."
,,Who is known for developing the theory of relativity?,Albert Einstein is known for developing the theory of relativity.
,,"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1.
,,"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?","The fall of the Soviet Union occurred in 1991, marking the end of the Cold War."
,,Who was the British prime minister at the start of World War II?,"Neville Chamberlain was the British Prime Minister at the start of World War II. He served from May 28, 1937, until May 10, 1940."
,,Where did the ancient Olympic Games originate?,"The ancient Olympic Games originated in Olympia, Greece."
,,Which U.S. President signed the Emancipation Proclamation?,The U.S. President who signed the Emancipation Proclamation was Abraham Lincoln.
,,What was the largest contiguous empire in history?,The largest contiguous empire in history is the British Empire.
,,Which of the following landmarks is located in Jordan?,"There are several landmarks in Jordan. Here are a few notable ones:

1. Petra: An ancient archaeological site and one of the New 7 Wonders of the World.
2. Wadi Rum: A large and scenic valley in southern Jordan known for its unique red sand dunes and rock formations.
3. Dead Sea: A saltwater lake bordering Jordan, Israel, and Palestine.
4"
,,In what year did India gain its independence from Britain?,"India gained its independence from Britain on August 15, 1947."
,,What was the code name for the Allied invasion of Normandy in June 1944?,The code name for the Allied invasion of Normandy in June 1944 was Operation Overlord.
,,What ship famously sank on its maiden voyage in April 1912?,The ship that famously sank on its maiden voyage in April 1912 is the RMS Titanic.
,,"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait.
,,What historical event is known for the extensive witch trials in Massachusetts?,The historical event known for the extensive witch trials in Massachusetts is the Salem witch trials.
,,Who was the first president of the United States?,George Washington was the first president of the United States.
,,Which world event is marked by the storming of the Bastille in 1789?,The world event marked by the storming of the Bastille in 1789 is the French Revolution.
,,Who was the famous leader of the Soviet Union during World War II?,Joseph Stalin was the leader of the Soviet Union during World War II.
,,"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall.
,,Which country was the first to use paper money?,China was the first country to use paper money. The first known use of paper money was in China during the Tang Dynasty (618-907 AD).
,,Who was the first person to circumnavigate the globe?,"The first person to circumnavigate the globe was Juan Sebastián Elcano, a Spanish explorer. He completed the journey in 1522, after the death of the expedition's leader, Ferdinand Magellan, who led the expedition in 1519. Elcano took command of the remaining crew and successfully navigated the remaining 70 days of the journey, returning to Spain on September 6,"
,,Where was the ancient Library of Alexandria located?,"The ancient Library of Alexandria was located in Alexandria, Egypt."
,,Who was the South African president who ended apartheid?,"Nelson Mandela was a key figure in the fight against apartheid, but he was not the president who ended apartheid. He was the first black president of South Africa, serving from 1994 to 1999. 

The president who oversaw the transition from apartheid to democracy and ended apartheid was F.W. de Klerk. He was the last state president of South Africa under apartheid and served"
,,What is the name of the first human spaceflight program by the United States?,The first human spaceflight program by the United States was Project Mercury.
,,In which year was the first modern Olympic Games held?,"The first modern Olympic Games were held in 1896 in Athens, Greece."
,,What was the name of the first programmable computer invented by Konrad Zuse?,The first programmable computer invented by Konrad Zuse was called Z1.
,,What was the main Allied beachhead in southern France during World War II?,"The main Allied beachhead in southern France during World War II was the one established at the port city of Marseilles, but more specifically, it was the invasion of southern France, also known as Operation Dragoon, which took place on August 15, 1944."
,,Who wrote the influential communist manifesto?,The influential Communist Manifesto was written by Karl Marx and Friedrich Engels.
